Index,Operation,Property Type,Place with Parent Names,Latitude,Longitude,Price,Currency,Price Approx (Local Currency),Price Approx (USD),Surface Total (m2),Surface Covered (m2),Price USD per m2,Price per m2,Floor,Rooms,Expenses,Property URL
1,Sale,Apartment,Embakasi,-1.271053413,36.96228053,14765788,USD,14765788,133413.1659,162,59,823.5380609,91146.83951,4,5,1881,https://example.com/property/1
2,Rent,Apartment,Kasarani,-1.377508097,36.72165325,4706930,USD,4706930,39043.12097,295,44,132.3495626,15955.69492,1,1,3060,https://example.com/property/2
3,Sale,Apartment,Westlands,-1.27222538,36.77669009,20742011,USD,20742011,153415.4566,111,111,1382.121231,186864.964,1,4,3082,https://example.com/property/3
4,Sale,Studio,Upper Hill,-1.228917647,36.62744112,17284450,USD,17284450,155894.628,72,57,2165.203167,240061.8056,4,5,7702,https://example.com/property/4
5,Sale,Townhouse,Juja,-1.430171056,36.87126542,13971844,USD,13971844,118071.3118,95,52,1242.855914,147072.0421,2,3,1158,https://example.com/property/5
6,Rent,Studio,Mombasa Road,-1.257781191,36.5383179,4578458,USD,4578458,38298.75468,105,74,364.7500446,43604.3619,2,4,6229,https://example.com/property/6
7,Sale,Townhouse,Parklands,-1.482271833,36.9363179,13198379,KES,13198379,88685.17897,184,91,481.9846683,71730.32065,5,3,8956,https://example.com/property/7
8,Sale,Studio,Ngara,-1.230345784,36.91405841,13008787,KES,13008787,88055.87791,167,44,527.2807061,77896.92814,3,4,8514,https://example.com/property/8
9,Sale,Studio,Kilimani,-1.304769436,36.60803006,17912584,USD,17912584,127940.742,266,263,480.980233,67340.54135,3,3,8803,https://example.com/property/9
10,Rent,Villa,Runda,-1.237731983,36.9046622,20449202,USD,20449202,182447.0423,238,75,766.5842114,85921.01681,5,5,3526,https://example.com/property/10
11,Sale,Studio,South B,-1.49994348,36.89317887,13723090,USD,13723090,132716.0773,180,93,737.3115405,76239.38889,3,5,9302,https://example.com/property/11
12,Sale,House,Runda,-1.449275679,36.8161083,18834213,USD,18834213,162580.8569,215,203,756.190032,87600.9907,1,1,8803,https://example.com/property/12
13,Sale,Villa,South B,-1.383072184,36.68676009,11526508,USD,11526508,101698.7446,261,213,389.6503625,44162.8659,1,4,7574,https://example.com/property/13
14,Sale,Studio,Donholm,-1.386149129,36.63574938,10845772,KES,10845772,86560.99873,211,201,410.2417001,51401.76303,4,1,9733,https://example.com/property/14
15,Rent,Apartment,South B,-1.431980885,36.6158918,12672891,KES,12672891,91246.45329,162,104,563.2497117,78227.72222,4,2,2138,https://example.com/property/15
16,Sale,House,Embakasi,-1.385516418,36.65930448,11048056,USD,11048056,77304.46305,93,58,831.2307854,118796.3011,5,5,8257,https://example.com/property/16
17,Rent,House,Juja,-1.461345386,36.95177922,17136405,KES,17136405,120472.5743,177,81,680.6360132,96815.84746,5,4,4283,https://example.com/property/17
18,Rent,House,Parklands,-1.376171661,36.53882039,15207579,USD,15207579,128895.5079,157,83,820.9904963,96863.56051,5,1,8762,https://example.com/property/18
19,Rent,Villa,Parklands,-1.259293701,36.91443564,7008146,USD,7008146,52158.80049,207,117,251.9748816,33855.77778,1,1,8896,https://example.com/property/19
20,Sale,Studio,Embakasi,-1.356278981,36.67444504,5361331,USD,5361331,46361.56803,66,48,702.4480005,81232.28788,3,2,3419,https://example.com/property/20
21,Rent,Studio,Kasarani,-1.494599973,36.7607997,20935559,KES,20935559,203168.5447,108,95,1881.190229,193847.7685,5,1,2756,https://example.com/property/21
22,Sale,Apartment,Donholm,-1.373566788,36.89724282,13919721,KES,13919721,103049.3039,187,179,551.0657961,74437.0107,5,3,3306,https://example.com/property/22
23,Rent,Apartment,Ngara,-1.491847495,36.94218827,3541529,USD,3541529,35242.11812,148,49,238.1224197,23929.25,1,5,8630,https://example.com/property/23
24,Rent,House,Utawala,-1.210126977,36.67239071,7348530,KES,7348530,61004.34262,133,62,458.6792678,55252.10526,1,1,7263,https://example.com/property/24
25,Rent,Apartment,Kileleshwa,-1.461763812,36.73092174,11283161,KES,11283161,96876.97619,195,101,496.8050061,57862.3641,1,1,6008,https://example.com/property/25
26,Rent,Villa,Runda,-1.287693502,36.70725803,8156758,USD,8156758,60568.99104,94,54,644.3509685,86774.02128,3,2,6247,https://example.com/property/26
27,Rent,Studio,Kilimani,-1.208167103,36.50662552,21930764,KES,21930764,158559.7823,157,75,1009.934919,139686.3949,5,3,9914,https://example.com/property/27
28,Rent,House,South B,-1.252188285,36.64797144,12929627,KES,12929627,112231.7356,268,102,418.7751329,48244.87687,2,1,3570,https://example.com/property/28
29,Rent,Apartment,Upper Hill,-1.290205387,36.72959462,3406547,USD,3406547,24231.85567,236,127,102.6773545,14434.52119,2,5,6807,https://example.com/property/29
30,Rent,Villa,Ruiru,-1.248161727,36.7055468,17875063,USD,17875063,155847.5295,111,86,1404.031797,161036.6036,5,5,8812,https://example.com/property/30
31,Sale,Villa,Ngara,-1.205460392,36.86096461,13047698,KES,13047698,106671.7688,108,34,987.7015634,120812.0185,5,1,1324,https://example.com/property/31
32,Sale,Apartment,Embakasi,-1.313596651,36.69240181,21434799,USD,21434799,157203.1784,226,84,695.589285,94844.24336,5,3,8487,https://example.com/property/32
33,Rent,Studio,Juja,-1.332244558,36.74468822,19840230,KES,19840230,147351.0413,277,90,531.9532178,71625.37906,5,5,6645,https://example.com/property/33
34,Rent,Apartment,Juja,-1.311528567,36.7148043,21012598,USD,21012598,140676.3055,240,118,586.1512731,87552.49167,3,5,2945,https://example.com/property/34
